pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
519924704,cnf_proj/10pipe_k.cnf.xz,13219654,test_unmodified,34841,original.sh,567969,complete,2248.96,2256.06,757520.0,UNSAT
519924705,cnf_proj/13pipe_k.cnf.xz,13219688,test_unmodified,34841,original.sh,567969,timeout (wallclock),4995.46,5000.02,2159860.0,UNKNOWN
519924706,cnf_proj/143.smt2.cnf.xz,13219805,test_unmodified,34841,original.sh,567969,timeout (wallclock),4985.27,5000.04,536992.0,UNKNOWN
519924707,cnf_proj/14pipe_q0_k.cnf.xz,13219627,test_unmodified,34841,original.sh,567969,timeout (wallclock),4989.44,5000.01,1509884.0,UNKNOWN
519924708,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,test_unmodified,34841,original.sh,567969,complete,387.459,390.176,272252.0,SAT-INCORRECT
519924709,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,test_unmodified,34841,original.sh,567969,complete,201.279,201.974,243484.0,SAT-INCORRECT
519924710,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,test_unmodified,34841,original.sh,567969,complete,3532.65,3535.6,463616.0,SAT-INCORRECT
519924711,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,test_unmodified,34841,original.sh,567969,complete,360.685,361.161,297940.0,SAT-INCORRECT
519924712,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,test_unmodified,34841,original.sh,567969,complete,70.51,70.5877,174012.0,SAT-INCORRECT
519924713,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,test_unmodified,34841,original.sh,567969,complete,74.3052,74.7169,169156.0,UNSAT
519924714,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,test_unmodified,34841,original.sh,567969,complete,371.273,373.141,193400.0,UNSAT
519924715,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,test_unmodified,34841,original.sh,567969,complete,83.9047,84.8289,177360.0,SAT-INCORRECT
519924716,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,test_unmodified,34841,original.sh,567969,complete,80.7764,80.9619,179796.0,SAT-INCORRECT
519924717,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,test_unmodified,34841,original.sh,567969,complete,416.723,417.649,208992.0,SAT-INCORRECT
519924718,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,test_unmodified,34841,original.sh,567969,complete,415.077,415.557,201528.0,UNSAT
519924719,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,test_unmodified,34841,original.sh,567969,complete,670.475,671.964,357640.0,SAT-INCORRECT
519924720,cnf_proj/20-100-p100-55_unsat.cnf.xz,13219622,test_unmodified,34841,original.sh,567969,complete,1650.52,1651.71,375452.0,UNSAT
519924721,cnf_proj/2bitcomp_5.hg_20.cnf.xz,13219526,test_unmodified,34841,original.sh,567969,timeout (wallclock),4998.81,5000.06,1729996.0,UNKNOWN
519924722,cnf_proj/51.smt2.cnf.xz,13219613,test_unmodified,34841,original.sh,567969,complete,362.255,363.712,222880.0,UNSAT
519924723,cnf_proj/73.smt2.cnf.xz,13219593,test_unmodified,34841,original.sh,567969,complete,421.706,422.584,232848.0,UNSAT
519924724,cnf_proj/79.smt2.cnf.xz,13219786,test_unmodified,34841,original.sh,567969,timeout (wallclock),4989.35,5000.02,383616.0,UNKNOWN
519924725,cnf_proj/9dlx_vliw_at_b_iq5.cnf.xz,13219739,test_unmodified,34841,original.sh,567969,complete,471.217,471.469,566012.0,UNSAT
519924726,cnf_proj/9dlx_vliw_at_b_iq8.cnf.xz,13219748,test_unmodified,34841,original.sh,567969,complete,1894.86,1897.52,1380460.0,UNSAT
519924727,cnf_proj/ACG-15-10p1.cnf.xz,13219820,test_unmodified,34841,original.sh,567969,complete,555.057,555.23,412624.0,SAT-INCORRECT
519924728,cnf_proj/ak016modbtsimpbisc.cnf.xz,13219753,test_unmodified,34841,original.sh,567969,complete,1914.7,1918.83,240460.0,UNSAT
519924729,cnf_proj/ak032modbtmodbtisc.cnf.xz,13219597,test_unmodified,34841,original.sh,567969,complete,1797.34,1801.62,276852.0,UNSAT
519924730,cnf_proj/ak128paralparalisc.cnf.xz,13219842,test_unmodified,34841,original.sh,567969,timeout (wallclock),4976.02,5000.05,1215072.0,UNKNOWN
519924731,cnf_proj/assoc_mult_err_3.c.cnf.xz,13219612,test_unmodified,34841,original.sh,567969,complete,46.0882,46.2293,142736.0,UNSAT
519924732,cnf_proj/at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf.xz,13219758,test_unmodified,34841,original.sh,567969,complete,361.063,362.025,310136.0,UNSAT
519924733,cnf_proj/at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,13219628,test_unmodified,34841,original.sh,567969,complete,338.947,342.763,550744.0,UNSAT
519924734,cnf_proj/at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf.xz,13219752,test_unmodified,34841,original.sh,567969,timeout (wallclock),4998.86,5000.02,458724.0,UNKNOWN
519924735,cnf_proj/at-least-two-ibm-2004-23-k100.cnf.xz,13219667,test_unmodified,34841,original.sh,567969,complete,656.176,656.288,740912.0,SAT-INCORRECT
519924736,cnf_proj/at-least-two-maris-s03-gripper11.cnf.xz,13219486,test_unmodified,34841,original.sh,567969,complete,47.1915,47.279,160220.0,SAT-INCORRECT
519924737,cnf_proj/at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,13219850,test_unmodified,34841,original.sh,567969,complete,2336.07,2336.45,215360.0,UNSAT
519924738,cnf_proj/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,13219638,test_unmodified,34841,original.sh,567969,complete,876.363,880.18,453500.0,UNSAT
519924739,cnf_proj/at-least-two-traffic_b_unsat.cnf.xz,13219668,test_unmodified,34841,original.sh,567969,complete,727.085,727.132,458512.0,UNSAT
519924740,cnf_proj/at-least-two-traffic_f_unknown.cnf.xz,13219496,test_unmodified,34841,original.sh,567969,complete,732.97,734.419,465648.0,UNSAT
519924741,cnf_proj/at-least-two-traffic_kkb_unknown.cnf.xz,13219647,test_unmodified,34841,original.sh,567969,complete,802.908,802.971,462744.0,UNSAT
519924742,cnf_proj/at-least-two-traffic_pcb_unknown.cnf.xz,13219801,test_unmodified,34841,original.sh,567969,complete,1708.87,1709.35,469900.0,UNSAT
519924743,cnf_proj/at-least-two-vmpc_26.cnf.xz,13219618,test_unmodified,34841,original.sh,567969,complete,942.258,944.132,212900.0,UNSAT
519924744,cnf_proj/at-least-two-vmpc_28.cnf.xz,13219703,test_unmodified,34841,original.sh,567969,complete,3571.11,3577.82,330116.0,SAT-INCORRECT
519924745,cnf_proj/b04_s_unknown_pre.cnf.xz,13219657,test_unmodified,34841,original.sh,567969,complete,35.9054,35.574,296608.0,SAT-INCORRECT
519924746,cnf_proj/b2005-p1-12x12c10h7-Ser3-0.cnf.xz,13219835,test_unmodified,34841,original.sh,567969,timeout (wallclock),4987.51,5000.01,836456.0,UNKNOWN
519924747,cnf_proj/b2005-p1-12x12c10h7-Ser4-0.cnf.xz,13219800,test_unmodified,34841,original.sh,567969,timeout (wallclock),4980.2,5000.04,995500.0,UNKNOWN
519924748,cnf_proj/b2005-p1-12x12c10h7-Ser5-0.cnf.xz,13219681,test_unmodified,34841,original.sh,567969,timeout (wallclock),4981.91,5000.09,840892.0,UNKNOWN
519924749,cnf_proj/b2005-p1-14x14c17h9-Ser3-0.cnf.xz,13219527,test_unmodified,34841,original.sh,567969,timeout (wallclock),4998.36,5000.06,4199780.0,UNKNOWN
519924750,cnf_proj/b2005-p2-12x12c10h7-Ser7-0.cnf.xz,13219546,test_unmodified,34841,original.sh,567969,timeout (wallclock),4994.57,5000.02,2107344.0,UNKNOWN
519924751,cnf_proj/b2005-p2-14x14c17h9-Ser5-0.cnf.xz,13219598,test_unmodified,34841,original.sh,567969,timeout (wallclock),4998.5,5000.1,3683664.0,UNKNOWN
519924752,cnf_proj/b2005-p2-14x14c17h9-Ser6-0.cnf.xz,13219726,test_unmodified,34841,original.sh,567969,timeout (wallclock),4996.98,5000.02,3592472.0,UNKNOWN
519924753,cnf_proj/b2005-p3-12x12c10h7-Ser7-0.cnf.xz,13219525,test_unmodified,34841,original.sh,567969,timeout (wallclock),4995.14,5000.02,1846968.0,UNKNOWN
519924754,cnf_proj/b2005-p3-14x14c17h9-Ser3-0.cnf.xz,13219511,test_unmodified,34841,original.sh,567969,timeout (cpu),5000.02,4999.67,3981520.0,UNKNOWN
519924755,cnf_proj/b2005-p4-12x12c10h7-Ser3-0.cnf.xz,13219774,test_unmodified,34841,original.sh,567969,timeout (wallclock),4990.29,5000.05,911188.0,UNKNOWN
