pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
519923300,cnf_proj/10pipe_k.cnf.xz,13219654,corrected,34837,cnftools.sh,567959,timeout (wallclock),4989.43,5000.1,5340760.0,UNKNOWN
519923301,cnf_proj/13pipe_k.cnf.xz,13219688,corrected,34837,cnftools.sh,567959,timeout (wallclock),4998.12,5000.04,2161604.0,UNKNOWN
519923302,cnf_proj/143.smt2.cnf.xz,13219805,corrected,34837,cnftools.sh,567959,timeout (wallclock),4988.78,5000.01,680256.0,UNKNOWN
519923303,cnf_proj/14pipe_q0_k.cnf.xz,13219627,corrected,34837,cnftools.sh,567959,timeout (wallclock),4991.78,5000.03,1503152.0,UNKNOWN
519923304,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,corrected,34837,cnftools.sh,567959,complete,1104.81,1104.57,1001868.0,SAT-INCORRECT
519923305,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,corrected,34837,cnftools.sh,567959,complete,581.327,581.324,860620.0,SAT-INCORRECT
519923306,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,corrected,34837,cnftools.sh,567959,timeout (wallclock),4994.91,5000.02,2657708.0,SAT-INCORRECT
519923307,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,corrected,34837,cnftools.sh,567959,complete,898.947,899.402,989412.0,SAT-INCORRECT
519923308,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,corrected,34837,cnftools.sh,567959,complete,157.927,157.899,691560.0,SAT-INCORRECT
519923309,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,corrected,34837,cnftools.sh,567959,complete,178.441,178.418,701880.0,UNSAT
519923310,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,corrected,34837,cnftools.sh,567959,complete,1116.04,1116.93,996472.0,UNSAT
519923311,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,corrected,34837,cnftools.sh,567959,complete,210.425,210.426,705556.0,SAT-INCORRECT
519923312,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,corrected,34837,cnftools.sh,567959,complete,188.065,188.172,691788.0,SAT-INCORRECT
519923313,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,corrected,34837,cnftools.sh,567959,complete,1181.69,1182.92,1028344.0,SAT-INCORRECT
519923314,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,corrected,34837,cnftools.sh,567959,complete,1096.4,1096.85,1041612.0,UNSAT
519923315,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,corrected,34837,cnftools.sh,567959,complete,2240.43,2239.49,938764.0,SAT-INCORRECT
