pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
519954556,cnf_proj/10pipe_k.cnf.xz,13219654,ig,34916,cnftools.sh,568230,timeout (wallclock),4990.18,5000.06,792544.0,UNKNOWN
519954557,cnf_proj/13pipe_k.cnf.xz,13219688,ig,34916,cnftools.sh,568230,timeout (wallclock),4996.53,5000.02,2171164.0,UNKNOWN
519954558,cnf_proj/143.smt2.cnf.xz,13219805,ig,34916,cnftools.sh,568230,timeout (wallclock),4992.14,5000.02,711108.0,UNKNOWN
519954559,cnf_proj/14pipe_q0_k.cnf.xz,13219627,ig,34916,cnftools.sh,568230,timeout (wallclock),4986.9,5000.03,1491520.0,UNKNOWN
519954560,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,ig,34916,cnftools.sh,568230,complete,916.942,918.142,554048.0,SAT-INCORRECT
519954561,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,ig,34916,cnftools.sh,568230,complete,523.941,523.701,412800.0,SAT-INCORRECT
519954562,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,ig,34916,cnftools.sh,568230,timeout (wallclock),4995.4,5000.02,2219876.0,SAT-INCORRECT
519954563,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,ig,34916,cnftools.sh,568230,complete,906.159,906.326,541592.0,SAT-INCORRECT
519954564,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,ig,34916,cnftools.sh,568230,complete,159.249,159.931,267860.0,SAT-INCORRECT
519954565,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,ig,34916,cnftools.sh,568230,complete,180.45,180.392,254060.0,UNSAT
519954566,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,ig,34916,cnftools.sh,568230,complete,1046.36,1046.98,548652.0,UNSAT
519954567,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,ig,34916,cnftools.sh,568230,complete,202.222,202.241,257736.0,SAT-INCORRECT
519954568,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,ig,34916,cnftools.sh,568230,complete,205.353,205.54,243968.0,SAT-INCORRECT
519954569,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,ig,34916,cnftools.sh,568230,complete,1089.99,1092.09,580524.0,SAT-INCORRECT
519954570,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,ig,34916,cnftools.sh,568230,complete,1196.11,1196.68,593792.0,UNSAT
519954571,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,ig,34916,cnftools.sh,568230,complete,2182.89,2182.56,490944.0,SAT-INCORRECT
519954572,cnf_proj/20-100-p100-55_unsat.cnf.xz,13219622,ig,34916,cnftools.sh,568230,timeout (wallclock),4999.75,5000.02,742972.0,UNSAT
519954573,cnf_proj/2bitcomp_5.hg_20.cnf.xz,13219526,ig,34916,cnftools.sh,568230,timeout (wallclock),4999.92,5000.02,1690276.0,UNKNOWN
519954574,cnf_proj/51.smt2.cnf.xz,13219613,ig,34916,cnftools.sh,568230,complete,682.374,683.187,577736.0,UNSAT
519954575,cnf_proj/73.smt2.cnf.xz,13219593,ig,34916,cnftools.sh,568230,complete,1273.91,1274.24,813248.0,UNSAT
519954576,cnf_proj/79.smt2.cnf.xz,13219786,ig,34916,cnftools.sh,568230,timeout (wallclock),4993.39,5000.11,455800.0,UNKNOWN
519954577,cnf_proj/9dlx_vliw_at_b_iq5.cnf.xz,13219739,ig,34916,cnftools.sh,568230,timeout (wallclock),4984.67,5000.03,846460.0,UNKNOWN
519954578,cnf_proj/9dlx_vliw_at_b_iq8.cnf.xz,13219748,ig,34916,cnftools.sh,568230,timeout (wallclock),4992.41,5000.02,1405228.0,UNKNOWN
519954579,cnf_proj/ACG-15-10p1.cnf.xz,13219820,ig,34916,cnftools.sh,568230,complete,2038.72,2038.27,424540.0,SAT-INCORRECT
519954580,cnf_proj/ak016modbtsimpbisc.cnf.xz,13219753,ig,34916,cnftools.sh,568230,timeout (wallclock),4993.83,5000.02,260608.0,UNKNOWN
519954581,cnf_proj/ak032modbtmodbtisc.cnf.xz,13219597,ig,34916,cnftools.sh,568230,timeout (wallclock),4988.15,5000.02,327520.0,UNKNOWN
519954582,cnf_proj/ak128paralparalisc.cnf.xz,13219842,ig,34916,cnftools.sh,568230,timeout (wallclock),4980.47,5000.01,1435376.0,UNKNOWN
519954583,cnf_proj/assoc_mult_err_3.c.cnf.xz,13219612,ig,34916,cnftools.sh,568230,complete,262.91,263.048,254624.0,UNSAT
519954584,cnf_proj/at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf.xz,13219758,ig,34916,cnftools.sh,568230,complete,1035.75,1035.78,628596.0,UNSAT
519954585,cnf_proj/at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,13219628,ig,34916,cnftools.sh,568230,complete,1828.69,1830.93,1606196.0,UNSAT
519954586,cnf_proj/at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf.xz,13219752,ig,34916,cnftools.sh,568230,timeout (cpu),5000.09,4999.17,499384.0,UNKNOWN
519954587,cnf_proj/at-least-two-ibm-2004-23-k100.cnf.xz,13219667,ig,34916,cnftools.sh,568230,complete,474.412,473.597,1043308.0,SAT-INCORRECT
519954588,cnf_proj/at-least-two-maris-s03-gripper11.cnf.xz,13219486,ig,34916,cnftools.sh,568230,complete,286.071,286.436,398168.0,SAT-INCORRECT
519954589,cnf_proj/at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,13219850,ig,34916,cnftools.sh,568230,complete,4922.91,4929.13,3293072.0,UNSAT
519954590,cnf_proj/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,13219638,ig,34916,cnftools.sh,568230,complete,3068.43,3071.84,2100116.0,UNSAT
519954591,cnf_proj/at-least-two-traffic_b_unsat.cnf.xz,13219668,ig,34916,cnftools.sh,568230,complete,1558.31,1557.93,631332.0,UNSAT
519954592,cnf_proj/at-least-two-traffic_f_unknown.cnf.xz,13219496,ig,34916,cnftools.sh,568230,complete,1780.3,1780.16,772968.0,UNSAT
519954593,cnf_proj/at-least-two-traffic_kkb_unknown.cnf.xz,13219647,ig,34916,cnftools.sh,568230,complete,2017.22,2016.57,726524.0,UNSAT
519954594,cnf_proj/at-least-two-traffic_pcb_unknown.cnf.xz,13219801,ig,34916,cnftools.sh,568230,complete,2657.99,2657.78,851760.0,UNSAT
519954595,cnf_proj/at-least-two-vmpc_26.cnf.xz,13219618,ig,34916,cnftools.sh,568230,complete,3835.04,3838.56,1858424.0,UNSAT
519954596,cnf_proj/at-least-two-vmpc_28.cnf.xz,13219703,ig,34916,cnftools.sh,568230,timeout (wallclock),4994.16,5000.04,2694116.0,SAT-INCORRECT
519954597,cnf_proj/b04_s_unknown_pre.cnf.xz,13219657,ig,34916,cnftools.sh,568230,complete,70.6719,69.9864,337104.0,SAT-INCORRECT
519954598,cnf_proj/b2005-p1-12x12c10h7-Ser3-0.cnf.xz,13219835,ig,34916,cnftools.sh,568230,timeout (wallclock),4977.6,5000.02,1972172.0,UNKNOWN
519954599,cnf_proj/b2005-p1-12x12c10h7-Ser4-0.cnf.xz,13219800,ig,34916,cnftools.sh,568230,timeout (wallclock),4974.6,5000.03,900848.0,UNKNOWN
519954600,cnf_proj/b2005-p1-12x12c10h7-Ser5-0.cnf.xz,13219681,ig,34916,cnftools.sh,568230,timeout (wallclock),4985.69,5000.07,965192.0,UNKNOWN
519954601,cnf_proj/b2005-p1-14x14c17h9-Ser3-0.cnf.xz,13219527,ig,34916,cnftools.sh,568230,timeout (wallclock),4998.59,5000.02,4867744.0,UNKNOWN
519954602,cnf_proj/b2005-p2-12x12c10h7-Ser7-0.cnf.xz,13219546,ig,34916,cnftools.sh,568230,timeout (wallclock),4991.12,5000.05,2711784.0,UNKNOWN
519954603,cnf_proj/b2005-p2-14x14c17h9-Ser5-0.cnf.xz,13219598,ig,34916,cnftools.sh,568230,timeout (wallclock),4998.72,5000.06,4856232.0,UNKNOWN
519954604,cnf_proj/b2005-p2-14x14c17h9-Ser6-0.cnf.xz,13219726,ig,34916,cnftools.sh,568230,timeout (cpu),5000.04,4998.82,4847780.0,UNKNOWN
519954605,cnf_proj/b2005-p3-12x12c10h7-Ser7-0.cnf.xz,13219525,ig,34916,cnftools.sh,568230,timeout (wallclock),4990.74,5000.02,2338300.0,UNKNOWN
