pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
520292850,cnf_proj/10pipe_k.cnf.xz,13219654,igrev2,34949,control.sh,568380,timeout (wallclock),4995.59,5000.05,2618448,UNSAT
520292851,cnf_proj/10pipe_k.cnf.xz,13219654,igrev2,34949,control_noelim.sh,568386,timeout (wallclock),4994.91,5000.02,2879320,UNSAT
520292853,cnf_proj/13pipe_k.cnf.xz,13219688,igrev2,34949,control.sh,568380,timeout (wallclock),4998.66,5000.02,2161240,UNKNOWN
520292854,cnf_proj/13pipe_k.cnf.xz,13219688,igrev2,34949,control_noelim.sh,568386,timeout (wallclock),4997.39,5000.03,2146496,UNKNOWN
520292856,cnf_proj/143.smt2.cnf.xz,13219805,igrev2,34949,control.sh,568380,timeout (wallclock),4986.2,5000.1,555792,UNKNOWN
520292857,cnf_proj/143.smt2.cnf.xz,13219805,igrev2,34949,control_noelim.sh,568386,timeout (wallclock),4995.8,5000.02,701328,UNKNOWN
520292859,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev2,34949,control.sh,568380,timeout (wallclock),4988.69,5000.01,1479680,UNKNOWN
520292860,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev2,34949,control_noelim.sh,568386,timeout (wallclock),4990.12,5000.11,1409076,UNKNOWN
520292862,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev2,34949,control.sh,568380,complete,914.663,914.805,554048,SAT-INCORRECT
520292863,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev2,34949,control_noelim.sh,568386,complete,1168.44,1168.36,558924,SAT-INCORRECT
520292865,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev2,34949,control.sh,568380,complete,583.343,583.196,412800,SAT-INCORRECT
520292866,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev2,34949,control_noelim.sh,568386,complete,753.946,753.661,373048,SAT-INCORRECT
520292868,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev2,34949,control.sh,568380,timeout (wallclock),4998.42,5000.01,2220144,SAT-INCORRECT
520292869,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev2,34949,control_noelim.sh,568386,timeout (wallclock),4998.38,5000.01,1832368,SAT-INCORRECT
520292871,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev2,34949,control.sh,568380,complete,891.726,891.635,541592,SAT-INCORRECT
520292872,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev2,34949,control_noelim.sh,568386,complete,1073.92,1073.89,509940,SAT-INCORRECT
520292874,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev2,34949,control.sh,568380,complete,188.66,188.614,252672,SAT-INCORRECT
520292875,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev2,34949,control_noelim.sh,568386,complete,421.536,421.544,312632,SAT-INCORRECT
520292877,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev2,34949,control.sh,568380,complete,194.406,194.616,254060,UNSAT
520292878,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev2,34949,control_noelim.sh,568386,complete,271.199,271.216,243968,UNSAT
520292880,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev2,34949,control.sh,568380,complete,1174.78,1175.25,548652,UNSAT
520292881,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev2,34949,control_noelim.sh,568386,complete,2273.2,2274.03,685712,UNSAT
520292883,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev2,34949,control.sh,568380,complete,212.398,212.388,257736,SAT-INCORRECT
520292884,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev2,34949,control_noelim.sh,568386,complete,409.388,409.401,301548,SAT-INCORRECT
520292886,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev2,34949,control.sh,568380,complete,172.243,172.239,254520,SAT-INCORRECT
520292887,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev2,34949,control_noelim.sh,568386,complete,358.945,359.11,262892,SAT-INCORRECT
520292889,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev2,34949,control.sh,568380,complete,1107.87,1108.66,580524,SAT-INCORRECT
520292890,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev2,34949,control_noelim.sh,568386,complete,453.639,453.795,307956,SAT-INCORRECT
520292892,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev2,34949,control.sh,568380,complete,1358.09,1358.56,593792,UNSAT
