pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
521423125,cnf_proj/10pipe_k.cnf.xz,13219654,brelimuip_final,35101,cnftools.br.elim.uip,572377,timeout (wallclock),4973.88,5000.11,1239560.0,UNKNOWN
521423126,cnf_proj/10pipe_k.cnf.xz,13219654,brelimuip_final,35101,kissat.br.elim.uip,572384,timeout (wallclock),4991.32,5000.04,1029752.0,UNKNOWN
521423127,cnf_proj/13pipe_k.cnf.xz,13219688,brelimuip_final,35101,cnftools.br.elim.uip,572377,timeout (wallclock),4990.25,5000.11,6209420.0,UNKNOWN
521423128,cnf_proj/13pipe_k.cnf.xz,13219688,brelimuip_final,35101,kissat.br.elim.uip,572384,timeout (wallclock),4983.58,5000.1,3156692.0,UNKNOWN
521423129,cnf_proj/143.smt2.cnf.xz,13219805,brelimuip_final,35101,cnftools.br.elim.uip,572377,timeout (wallclock),4988.83,5000.1,717756.0,UNKNOWN
521423130,cnf_proj/143.smt2.cnf.xz,13219805,brelimuip_final,35101,kissat.br.elim.uip,572384,timeout (wallclock),4995.69,5000.04,639400.0,UNKNOWN
521423131,cnf_proj/14pipe_q0_k.cnf.xz,13219627,brelimuip_final,35101,cnftools.br.elim.uip,572377,timeout (wallclock),4984.06,5000.04,2604960.0,UNKNOWN
521423132,cnf_proj/14pipe_q0_k.cnf.xz,13219627,brelimuip_final,35101,kissat.br.elim.uip,572384,timeout (wallclock),4987.66,5000.02,1992868.0,UNKNOWN
521423133,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,2525.25,2540.89,586244.0,SAT-INCORRECT
521423134,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,2533.4,2538.05,586244.0,SAT-INCORRECT
521423135,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,925.249,932.027,505020.0,SAT-INCORRECT
521423136,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,921.607,923.994,505020.0,SAT-INCORRECT
521423137,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,brelimuip_final,35101,cnftools.br.elim.uip,572377,timeout (wallclock),4984.27,5000.07,794740.0,UNKNOWN
521423138,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,brelimuip_final,35101,kissat.br.elim.uip,572384,timeout (wallclock),4990.22,5000.02,794740.0,UNKNOWN
521423139,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,1923.68,1927.81,506128.0,SAT-INCORRECT
521423140,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,1898.09,1900.62,506128.0,SAT-INCORRECT
521423141,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,452.085,454.11,374060.0,SAT-INCORRECT
521423142,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,435.543,436.851,374060.0,SAT-INCORRECT
521423143,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,452.255,454.049,421424.0,UNSAT
521423144,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,454.477,456.3,421424.0,UNSAT
521423145,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,brelimuip_final,35101,cnftools.br.elim.uip,572377,timeout (wallclock),4978.9,5000.03,710848.0,UNKNOWN
521423146,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,brelimuip_final,35101,kissat.br.elim.uip,572384,timeout (wallclock),4980.1,5000.02,710848.0,UNKNOWN
521423147,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,168.253,169.573,312692.0,SAT-INCORRECT
521423148,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,168.551,169.115,312692.0,SAT-INCORRECT
521423149,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,510.216,512.305,374168.0,SAT-INCORRECT
521423150,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,506.705,507.216,374168.0,SAT-INCORRECT
521423151,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,2974.74,3006.47,572496.0,SAT-INCORRECT
521423152,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,brelimuip_final,35101,kissat.br.elim.uip,572384,complete,2996.59,3026.29,572496.0,SAT-INCORRECT
521423153,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,brelimuip_final,35101,cnftools.br.elim.uip,572377,complete,4218.42,4240.09,671384.0,UNSAT
