pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
520496336,cnf_proj/10pipe_k.cnf.xz,13219654,igrev10,34995,cnftools.br.elim,568811,timeout (wallclock),4987.93,5000.09,881016,UNKNOWN
520496337,cnf_proj/10pipe_k.cnf.xz,13219654,igrev10,34995,cnftools.br.uip,568808,timeout (wallclock),4987.19,5000.1,927248,UNKNOWN
520496338,cnf_proj/10pipe_k.cnf.xz,13219654,igrev10,34995,cnftools.br,568810,timeout (wallclock),4984.84,5000.04,991840,UNKNOWN
520496339,cnf_proj/10pipe_k.cnf.xz,13219654,igrev10,34995,cnftools.elim,568802,complete,2791,2797.07,865572,UNSAT
520496341,cnf_proj/13pipe_k.cnf.xz,13219688,igrev10,34995,cnftools.br.elim,568811,timeout (wallclock),4996.19,5000.03,2270448,UNKNOWN
520496342,cnf_proj/13pipe_k.cnf.xz,13219688,igrev10,34995,cnftools.br.uip,568808,timeout (wallclock),4990.27,5000.02,2345244,UNKNOWN
520496343,cnf_proj/13pipe_k.cnf.xz,13219688,igrev10,34995,cnftools.br,568810,timeout (wallclock),4990.59,5000.02,2323132,UNKNOWN
520496344,cnf_proj/13pipe_k.cnf.xz,13219688,igrev10,34995,cnftools.elim,568802,timeout (wallclock),4989.95,5000.02,2255740,UNKNOWN
520496346,cnf_proj/143.smt2.cnf.xz,13219805,igrev10,34995,cnftools.br.elim,568811,timeout (wallclock),4991.3,5000.11,698356,UNKNOWN
520496347,cnf_proj/143.smt2.cnf.xz,13219805,igrev10,34995,cnftools.br.uip,568808,timeout (wallclock),4992.01,5000.02,625644,UNKNOWN
520496348,cnf_proj/143.smt2.cnf.xz,13219805,igrev10,34995,cnftools.br,568810,timeout (wallclock),4989.76,5000.01,773400,UNKNOWN
520496349,cnf_proj/143.smt2.cnf.xz,13219805,igrev10,34995,cnftools.elim,568802,timeout (wallclock),4986.22,5000.02,717488,UNKNOWN
520496351,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev10,34995,cnftools.br.elim,568811,timeout (wallclock),4985.8,5000.09,1517456,UNKNOWN
520496352,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev10,34995,cnftools.br.uip,568808,timeout (wallclock),4982.24,5000.11,1599536,UNKNOWN
520496353,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev10,34995,cnftools.br,568810,timeout (wallclock),4982.3,5000.02,1575528,UNKNOWN
520496354,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev10,34995,cnftools.elim,568802,timeout (wallclock),4984.47,5000.02,1528840,UNKNOWN
520496356,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev10,34995,cnftools.br.elim,568811,complete,693.988,695.346,407656,SAT-INCORRECT
520496357,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev10,34995,cnftools.br.uip,568808,complete,391.148,391.516,379692,SAT-INCORRECT
520496358,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev10,34995,cnftools.br,568810,complete,388.183,388.959,379688,SAT-INCORRECT
520496359,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev10,34995,cnftools.elim,568802,complete,676.423,677.133,407656,SAT-INCORRECT
520496361,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev10,34995,cnftools.br.elim,568811,complete,229.665,229.797,355096,SAT-INCORRECT
520496362,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev10,34995,cnftools.br.uip,568808,complete,192.175,192.483,358372,SAT-INCORRECT
520496363,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev10,34995,cnftools.br,568810,complete,198.384,198.519,358368,SAT-INCORRECT
520496364,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev10,34995,cnftools.elim,568802,complete,225.713,226.113,355096,SAT-INCORRECT
520496366,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev10,34995,cnftools.br.elim,568811,complete,4254.75,4263.7,578604,SAT-INCORRECT
520496367,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev10,34995,cnftools.br.uip,568808,complete,3504.47,3509.6,566188,SAT-INCORRECT
520496368,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev10,34995,cnftools.br,568810,complete,3513.19,3519.14,566184,SAT-INCORRECT
520496369,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev10,34995,cnftools.elim,568802,complete,4237.12,4240.53,578604,SAT-INCORRECT
520496371,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev10,34995,cnftools.br.elim,568811,complete,286.366,286.536,348996,SAT-INCORRECT
520496372,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev10,34995,cnftools.br.uip,568808,complete,359.101,359.393,406908,SAT-INCORRECT
520496373,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev10,34995,cnftools.br,568810,complete,354.938,355.409,406904,SAT-INCORRECT
520496374,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev10,34995,cnftools.elim,568802,complete,289.854,290.102,348996,SAT-INCORRECT
520496376,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev10,34995,cnftools.br.elim,568811,complete,92.2547,92.4746,272952,SAT-INCORRECT
520496377,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev10,34995,cnftools.br.uip,568808,complete,70.6769,71.1048,279436,SAT-INCORRECT
520496378,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev10,34995,cnftools.br,568810,complete,70.5666,70.69,279432,SAT-INCORRECT
520496379,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev10,34995,cnftools.elim,568802,complete,91.1749,91.299,272596,SAT-INCORRECT
520496381,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev10,34995,cnftools.br.elim,568811,complete,141.141,141.28,281412,UNSAT
520496382,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev10,34995,cnftools.br.uip,568808,complete,73.7755,73.9175,279244,UNSAT
520496383,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev10,34995,cnftools.br,568810,complete,73.0866,73.1193,279240,UNSAT
520496384,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev10,34995,cnftools.elim,568802,complete,134.614,134.957,281412,UNSAT
520496386,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev10,34995,cnftools.br.elim,568811,complete,536.647,537.049,300572,UNSAT
520496387,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev10,34995,cnftools.br.uip,568808,complete,377.007,377.715,300524,UNSAT
520496388,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev10,34995,cnftools.br,568810,complete,362.09,362.469,300520,UNSAT
520496389,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev10,34995,cnftools.elim,568802,complete,551.854,553.379,307020,UNSAT
520496391,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev10,34995,cnftools.br.elim,568811,complete,114.073,114.173,279792,SAT-INCORRECT
520496392,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev10,34995,cnftools.br.uip,568808,complete,84.4759,84.8284,284160,SAT-INCORRECT
520496393,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev10,34995,cnftools.br,568810,complete,84.2869,84.5132,284156,SAT-INCORRECT
520496394,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev10,34995,cnftools.elim,568802,complete,112.961,113.192,279792,SAT-INCORRECT
520496396,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev10,34995,cnftools.br.elim,568811,complete,152.82,152.95,286444,SAT-INCORRECT
520496397,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev10,34995,cnftools.br.uip,568808,complete,75.8212,75.8858,289868,SAT-INCORRECT
520496398,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev10,34995,cnftools.br,568810,complete,78.6235,78.7117,288884,SAT-INCORRECT
520496399,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev10,34995,cnftools.elim,568802,complete,152.344,152.981,286444,SAT-INCORRECT
520496401,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev10,34995,cnftools.br.elim,568811,complete,500.539,500.972,321104,SAT-INCORRECT
520496402,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev10,34995,cnftools.br.uip,568808,complete,406.722,407.187,318396,SAT-INCORRECT
520496403,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev10,34995,cnftools.br,568810,complete,404.256,406.211,318392,SAT-INCORRECT
520496404,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev10,34995,cnftools.elim,568802,complete,495.91,496.146,321104,SAT-INCORRECT
520496406,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev10,34995,cnftools.br.elim,568811,complete,616.725,617.683,321456,UNSAT
520496407,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev10,34995,cnftools.br.uip,568808,complete,416.072,418.517,307476,UNSAT
520496408,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev10,34995,cnftools.br,568810,complete,406.109,408.42,307472,UNSAT
520496409,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev10,34995,cnftools.elim,568802,complete,618.188,618.808,321456,UNSAT
520496411,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,igrev10,34995,cnftools.br.elim,568811,complete,1930.43,1931.23,478472,SAT-INCORRECT
520496412,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,igrev10,34995,cnftools.br.uip,568808,complete,660.399,661.572,436684,SAT-INCORRECT
520496413,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,igrev10,34995,cnftools.br,568810,complete,670.388,670.953,436680,SAT-INCORRECT
