pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
520495535,cnf_proj/10pipe_k.cnf.xz,13219654,igrev10,34995,control,568805,complete,2159.41,2162.72,856216.0,UNSAT
520495536,cnf_proj/10pipe_k.cnf.xz,13219654,igrev10,34995,control.noelim,568803,complete,2924.72,2932.81,838204.0,UNSAT
520495537,cnf_proj/13pipe_k.cnf.xz,13219688,igrev10,34995,control,568805,timeout (wallclock),4997.44,5000.06,2326008.0,UNKNOWN
520495538,cnf_proj/13pipe_k.cnf.xz,13219688,igrev10,34995,control.noelim,568803,timeout (wallclock),4995.58,5000.04,2254552.0,UNKNOWN
520495539,cnf_proj/143.smt2.cnf.xz,13219805,igrev10,34995,control,568805,timeout (wallclock),4982.71,5000.03,680024.0,UNKNOWN
520495540,cnf_proj/143.smt2.cnf.xz,13219805,igrev10,34995,control.noelim,568803,timeout (wallclock),4993.2,5000.05,809384.0,UNKNOWN
520495541,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev10,34995,control,568805,timeout (wallclock),4989.33,5000.02,1597080.0,UNKNOWN
520495542,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev10,34995,control.noelim,568803,timeout (wallclock),4984.09,5000.04,1517132.0,UNKNOWN
520495543,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev10,34995,control,568805,complete,383.194,383.746,379688.0,SAT-INCORRECT
520495544,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev10,34995,control.noelim,568803,complete,449.136,449.649,378788.0,SAT-INCORRECT
520495545,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev10,34995,control,568805,complete,191.935,192.501,358368.0,SAT-INCORRECT
520495546,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev10,34995,control.noelim,568803,complete,205.457,205.688,354324.0,SAT-INCORRECT
520495547,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev10,34995,control,568805,complete,3497.54,3500.07,566184.0,SAT-INCORRECT
520495548,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev10,34995,control.noelim,568803,complete,3039.32,3042.0,512672.0,SAT-INCORRECT
520495549,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev10,34995,control,568805,complete,352.639,352.963,406904.0,SAT-INCORRECT
520495550,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev10,34995,control.noelim,568803,complete,392.949,393.193,387656.0,SAT-INCORRECT
520495551,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev10,34995,control,568805,complete,69.7422,69.7832,279432.0,SAT-INCORRECT
520495552,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev10,34995,control.noelim,568803,complete,134.275,134.564,282436.0,SAT-INCORRECT
520495553,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev10,34995,control,568805,complete,71.9767,72.0476,279240.0,UNSAT
520495554,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev10,34995,control.noelim,568803,complete,93.9477,93.9947,271300.0,UNSAT
520495555,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev10,34995,control,568805,complete,374.791,375.64,300520.0,UNSAT
520495556,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev10,34995,control.noelim,568803,complete,735.296,736.451,314060.0,UNSAT
520495557,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev10,34995,control,568805,complete,82.8759,83.0168,284156.0,SAT-INCORRECT
520495558,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev10,34995,control.noelim,568803,complete,150.433,150.79,287188.0,SAT-INCORRECT
520495559,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev10,34995,control,568805,complete,77.82,78.0333,288884.0,SAT-INCORRECT
520495560,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev10,34995,control.noelim,568803,complete,125.169,125.378,285780.0,SAT-INCORRECT
520495561,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev10,34995,control,568805,complete,397.67,398.031,318392.0,SAT-INCORRECT
520495562,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev10,34995,control.noelim,568803,complete,152.987,153.252,278416.0,SAT-INCORRECT
520495563,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev10,34995,control,568805,complete,405.267,406.134,307472.0,UNSAT
520495564,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev10,34995,control.noelim,568803,complete,526.281,527.232,329512.0,UNSAT
520495565,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,igrev10,34995,control,568805,complete,651.997,652.69,436680.0,SAT-INCORRECT
520495566,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,igrev10,34995,control.noelim,568803,complete,628.975,629.345,432844.0,SAT-INCORRECT
520495567,cnf_proj/20-100-p100-55_unsat.cnf.xz,13219622,igrev10,34995,control,568805,complete,1623.48,1624.08,488184.0,UNSAT
520495568,cnf_proj/20-100-p100-55_unsat.cnf.xz,13219622,igrev10,34995,control.noelim,568803,complete,2562.38,2565.72,474748.0,UNSAT
520495569,cnf_proj/2bitcomp_5.hg_20.cnf.xz,13219526,igrev10,34995,control,568805,timeout (wallclock),4994.96,5000.07,1777260.0,UNKNOWN
520495570,cnf_proj/2bitcomp_5.hg_20.cnf.xz,13219526,igrev10,34995,control.noelim,568803,timeout (wallclock),4996.87,5000.02,1777276.0,UNKNOWN
520495571,cnf_proj/51.smt2.cnf.xz,13219613,igrev10,34995,control,568805,complete,358.95,359.946,317876.0,UNSAT
520495572,cnf_proj/51.smt2.cnf.xz,13219613,igrev10,34995,control.noelim,568803,complete,1189.99,1190.72,379232.0,UNSAT
520495573,cnf_proj/73.smt2.cnf.xz,13219593,igrev10,34995,control,568805,complete,420.848,422.204,339196.0,UNSAT
520495574,cnf_proj/73.smt2.cnf.xz,13219593,igrev10,34995,control.noelim,568803,complete,547.043,547.659,368408.0,UNSAT
520495575,cnf_proj/79.smt2.cnf.xz,13219786,igrev10,34995,control,568805,timeout (wallclock),4993.7,5000.11,494296.0,UNKNOWN
520495576,cnf_proj/79.smt2.cnf.xz,13219786,igrev10,34995,control.noelim,568803,timeout (wallclock),4989.0,5000.01,478652.0,UNKNOWN
520495577,cnf_proj/9dlx_vliw_at_b_iq5.cnf.xz,13219739,igrev10,34995,control,568805,complete,455.02,456.801,666340.0,UNSAT
520495578,cnf_proj/9dlx_vliw_at_b_iq5.cnf.xz,13219739,igrev10,34995,control.noelim,568803,complete,587.607,590.158,670888.0,UNSAT
520495579,cnf_proj/9dlx_vliw_at_b_iq8.cnf.xz,13219748,igrev10,34995,control,568805,complete,1818.81,1822.92,1454000.0,UNSAT
520495580,cnf_proj/9dlx_vliw_at_b_iq8.cnf.xz,13219748,igrev10,34995,control.noelim,568803,complete,2162.44,2169.93,1445080.0,UNSAT
520495581,cnf_proj/ACG-15-10p1.cnf.xz,13219820,igrev10,34995,control,568805,complete,542.766,543.195,449880.0,SAT-INCORRECT
520495582,cnf_proj/ACG-15-10p1.cnf.xz,13219820,igrev10,34995,control.noelim,568803,complete,277.111,277.261,442228.0,SAT-INCORRECT
520495583,cnf_proj/ak016modbtsimpbisc.cnf.xz,13219753,igrev10,34995,control,568805,complete,1911.08,1912.5,348688.0,UNSAT
520495584,cnf_proj/ak016modbtsimpbisc.cnf.xz,13219753,igrev10,34995,control.noelim,568803,complete,1812.45,1813.91,328400.0,UNSAT
520495585,cnf_proj/ak032modbtmodbtisc.cnf.xz,13219597,igrev10,34995,control,568805,complete,1782.73,1791.89,380136.0,UNSAT
520495586,cnf_proj/ak032modbtmodbtisc.cnf.xz,13219597,igrev10,34995,control.noelim,568803,timeout (wallclock),4995.7,5000.11,434944.0,UNKNOWN
520495587,cnf_proj/ak128paralparalisc.cnf.xz,13219842,igrev10,34995,control,568805,timeout (wallclock),4974.62,5000.03,1318140.0,UNKNOWN
520495588,cnf_proj/ak128paralparalisc.cnf.xz,13219842,igrev10,34995,control.noelim,568803,timeout (wallclock),4976.81,5000.02,954912.0,UNKNOWN
520495589,cnf_proj/assoc_mult_err_3.c.cnf.xz,13219612,igrev10,34995,control,568805,complete,45.2564,45.4023,251536.0,UNSAT
520495590,cnf_proj/assoc_mult_err_3.c.cnf.xz,13219612,igrev10,34995,control.noelim,568803,complete,48.6808,48.716,251100.0,UNSAT
520495591,cnf_proj/at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf.xz,13219758,igrev10,34995,control,568805,complete,338.936,339.669,386576.0,UNSAT
520495592,cnf_proj/at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf.xz,13219758,igrev10,34995,control.noelim,568803,complete,357.45,358.302,423316.0,UNSAT
520495593,cnf_proj/at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,13219628,igrev10,34995,control,568805,complete,333.068,335.686,643180.0,UNSAT
520495594,cnf_proj/at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,13219628,igrev10,34995,control.noelim,568803,complete,326.249,330.057,642772.0,UNSAT
520495595,cnf_proj/at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf.xz,13219752,igrev10,34995,control,568805,timeout (wallclock),4999.36,5000.01,515864.0,UNKNOWN
520495596,cnf_proj/at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf.xz,13219752,igrev10,34995,control.noelim,568803,complete,194.204,194.346,504472.0,UNSAT
520495597,cnf_proj/at-least-two-ibm-2004-23-k100.cnf.xz,13219667,igrev10,34995,control,568805,complete,638.209,639.735,766104.0,SAT-INCORRECT
520495598,cnf_proj/at-least-two-ibm-2004-23-k100.cnf.xz,13219667,igrev10,34995,control.noelim,568803,complete,1286.21,1289.25,913640.0,SAT-INCORRECT
520495599,cnf_proj/at-least-two-maris-s03-gripper11.cnf.xz,13219486,igrev10,34995,control,568805,complete,46.2097,46.2972,270464.0,SAT-INCORRECT
520495600,cnf_proj/at-least-two-maris-s03-gripper11.cnf.xz,13219486,igrev10,34995,control.noelim,568803,complete,107.996,108.264,283588.0,SAT-INCORRECT
520495601,cnf_proj/at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,13219850,igrev10,34995,control,568805,complete,2432.44,2433.59,327172.0,UNSAT
520495602,cnf_proj/at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,13219850,igrev10,34995,control.noelim,568803,complete,1362.53,1368.46,349024.0,UNSAT
520495603,cnf_proj/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,13219638,igrev10,34995,control,568805,complete,903.67,905.904,532724.0,UNSAT
520495604,cnf_proj/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,13219638,igrev10,34995,control.noelim,568803,complete,333.166,339.478,558260.0,UNSAT
520495605,cnf_proj/at-least-two-traffic_b_unsat.cnf.xz,13219668,igrev10,34995,control,568805,complete,751.304,752.225,568384.0,UNSAT
520495606,cnf_proj/at-least-two-traffic_b_unsat.cnf.xz,13219668,igrev10,34995,control.noelim,568803,complete,369.822,370.111,546996.0,UNSAT
520495607,cnf_proj/at-least-two-traffic_f_unknown.cnf.xz,13219496,igrev10,34995,control,568805,complete,755.478,756.693,569648.0,UNSAT
520495608,cnf_proj/at-least-two-traffic_f_unknown.cnf.xz,13219496,igrev10,34995,control.noelim,568803,complete,374.096,374.591,571244.0,UNSAT
520495609,cnf_proj/at-least-two-traffic_kkb_unknown.cnf.xz,13219647,igrev10,34995,control,568805,complete,819.161,819.735,561000.0,UNSAT
520495610,cnf_proj/at-least-two-traffic_kkb_unknown.cnf.xz,13219647,igrev10,34995,control.noelim,568803,complete,368.162,368.727,550564.0,UNSAT
520495611,cnf_proj/at-least-two-traffic_pcb_unknown.cnf.xz,13219801,igrev10,34995,control,568805,complete,1801.77,1802.63,592532.0,UNSAT
520495612,cnf_proj/at-least-two-traffic_pcb_unknown.cnf.xz,13219801,igrev10,34995,control.noelim,568803,complete,382.374,383.333,574920.0,UNSAT
520495613,cnf_proj/at-least-two-vmpc_26.cnf.xz,13219618,igrev10,34995,control,568805,complete,922.428,924.203,326716.0,UNSAT
520495614,cnf_proj/at-least-two-vmpc_26.cnf.xz,13219618,igrev10,34995,control.noelim,568803,complete,1181.91,1184.18,345112.0,UNSAT
520495615,cnf_proj/at-least-two-vmpc_28.cnf.xz,13219703,igrev10,34995,control,568805,complete,3567.86,3578.58,441776.0,SAT-INCORRECT
520495616,cnf_proj/at-least-two-vmpc_28.cnf.xz,13219703,igrev10,34995,control.noelim,568803,complete,3174.85,3184.39,448100.0,SAT-INCORRECT
520495617,cnf_proj/b04_s_unknown_pre.cnf.xz,13219657,igrev10,34995,control,568805,complete,34.8993,35.1451,398484.0,SAT-INCORRECT
520495618,cnf_proj/b04_s_unknown_pre.cnf.xz,13219657,igrev10,34995,control.noelim,568803,complete,30.3416,30.4012,422200.0,SAT-INCORRECT
520495619,cnf_proj/b2005-p1-12x12c10h7-Ser3-0.cnf.xz,13219835,igrev10,34995,control,568805,timeout (wallclock),4982.16,5000.04,921692.0,UNKNOWN
520495620,cnf_proj/b2005-p1-12x12c10h7-Ser3-0.cnf.xz,13219835,igrev10,34995,control.noelim,568803,timeout (wallclock),4985.61,5000.04,913972.0,UNKNOWN
520495621,cnf_proj/b2005-p1-12x12c10h7-Ser4-0.cnf.xz,13219800,igrev10,34995,control,568805,timeout (wallclock),4975.65,5000.02,1035040.0,UNKNOWN
520495622,cnf_proj/b2005-p1-12x12c10h7-Ser4-0.cnf.xz,13219800,igrev10,34995,control.noelim,568803,timeout (wallclock),4989.59,5000.11,954644.0,UNKNOWN
