pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
520500736,cnf_proj/10pipe_k.cnf.xz,13219654,igrev11,34998,kissat_br-elim-uip.sh,568825,timeout (wallclock),4986.47,5000.02,1030264.0,UNKNOWN
520500737,cnf_proj/10pipe_k.cnf.xz,13219654,igrev11,34998,kissat_br-elim.sh,568827,timeout (wallclock),4990.71,5000.06,1029240.0,UNKNOWN
520500738,cnf_proj/10pipe_k.cnf.xz,13219654,igrev11,34998,kissat_br-uip.sh,568828,timeout (cpu),5000.04,4999.01,1030264.0,UNKNOWN
520500739,cnf_proj/10pipe_k.cnf.xz,13219654,igrev11,34998,kissat_br.sh,568819,timeout (cpu),5000.08,4998.84,1030264.0,UNKNOWN
520500740,cnf_proj/10pipe_k.cnf.xz,13219654,igrev11,34998,kissat_elim.sh,568817,complete,2427.41,2432.63,1028984.0,UNSAT
520500741,cnf_proj/13pipe_k.cnf.xz,13219688,igrev11,34998,kissat_br-elim-uip.sh,568825,timeout (cpu),5000.05,4999.53,3156692.0,UNKNOWN
520500742,cnf_proj/13pipe_k.cnf.xz,13219688,igrev11,34998,kissat_br-elim.sh,568827,timeout (cpu),5000.0,4997.93,3156688.0,UNKNOWN
520500743,cnf_proj/13pipe_k.cnf.xz,13219688,igrev11,34998,kissat_br-uip.sh,568828,timeout (cpu),5000.01,4994.25,3156692.0,UNKNOWN
520500744,cnf_proj/13pipe_k.cnf.xz,13219688,igrev11,34998,kissat_br.sh,568819,timeout (cpu),5000.03,4993.99,3156692.0,UNKNOWN
520500745,cnf_proj/13pipe_k.cnf.xz,13219688,igrev11,34998,kissat_elim.sh,568817,timeout (cpu),5000.04,4999.0,3156692.0,UNKNOWN
520500746,cnf_proj/143.smt2.cnf.xz,13219805,igrev11,34998,kissat_br-elim-uip.sh,568825,timeout (wallclock),4988.51,5000.02,678188.0,UNKNOWN
520500747,cnf_proj/143.smt2.cnf.xz,13219805,igrev11,34998,kissat_br-elim.sh,568827,timeout (wallclock),4988.19,5000.05,672720.0,UNKNOWN
520500748,cnf_proj/143.smt2.cnf.xz,13219805,igrev11,34998,kissat_br-uip.sh,568828,timeout (cpu),5000.01,4999.44,533928.0,UNKNOWN
