pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
521422125,cnf_proj/10pipe_k.cnf.xz,13219654,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4980.06,5000.08,6021292.0,UNSAT
521422126,cnf_proj/13pipe_k.cnf.xz,13219688,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4990.61,5000.02,1.2907956E7,UNKNOWN
521422127,cnf_proj/143.smt2.cnf.xz,13219805,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4983.21,5000.05,1325772.0,UNKNOWN
521422128,cnf_proj/14pipe_q0_k.cnf.xz,13219627,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4977.78,5000.02,1.9991516E7,UNSAT
521422129,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,lastuip_final_test,35102,control.lastuip,572387,complete,2563.45,2570.64,571112.0,SAT-INCORRECT
521422130,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,lastuip_final_test,35102,control.lastuip,572387,complete,1345.26,1351.37,545884.0,SAT-INCORRECT
521422131,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4973.06,5000.1,674572.0,UNKNOWN
521422132,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,lastuip_final_test,35102,control.lastuip,572387,complete,1789.87,1794.36,500712.0,SAT-INCORRECT
521422133,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,lastuip_final_test,35102,control.lastuip,572387,complete,496.615,500.04,428492.0,SAT-INCORRECT
521422134,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,lastuip_final_test,35102,control.lastuip,572387,complete,751.143,753.969,2836528.0,UNSAT
521422135,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4965.14,5000.03,717568.0,UNKNOWN
521422136,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,lastuip_final_test,35102,control.lastuip,572387,complete,1130.44,1134.72,428892.0,SAT-INCORRECT
521422137,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,lastuip_final_test,35102,control.lastuip,572387,complete,476.6,485.162,405740.0,SAT-INCORRECT
521422138,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,lastuip_final_test,35102,control.lastuip,572387,complete,1983.84,1993.26,521712.0,SAT-INCORRECT
521422139,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4979.58,5000.03,598504.0,UNKNOWN
521422140,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,lastuip_final_test,35102,control.lastuip,572387,timeout (wallclock),4964.69,5000.02,854752.0,UNKNOWN
