pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
520884756,cnf_proj/10pipe_k.cnf.xz,13219654,igrev12,35033,control.side-effects,571081,complete,2577.33,2580.7,860616.0,UNSAT
520884757,cnf_proj/13pipe_k.cnf.xz,13219688,igrev12,35033,control.side-effects,571081,timeout (wallclock),4995.25,5000.06,2254552.0,UNKNOWN
520884758,cnf_proj/143.smt2.cnf.xz,13219805,igrev12,35033,control.side-effects,571081,timeout (wallclock),4993.96,5000.08,681284.0,UNKNOWN
520884759,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev12,35033,control.side-effects,571081,timeout (wallclock),4986.64,5000.04,1518824.0,UNKNOWN
520884760,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev12,35033,control.side-effects,571081,complete,671.718,673.002,413724.0,SAT-INCORRECT
520884761,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev12,35033,control.side-effects,571081,complete,216.209,216.542,352764.0,SAT-INCORRECT
520884762,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev12,35033,control.side-effects,571081,complete,4205.63,4209.14,567876.0,SAT-INCORRECT
520884763,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev12,35033,control.side-effects,571081,complete,283.478,285.516,349356.0,SAT-INCORRECT
520884764,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev12,35033,control.side-effects,571081,complete,92.4293,92.6519,271524.0,SAT-INCORRECT
520884765,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev12,35033,control.side-effects,571081,complete,138.114,138.423,277152.0,UNSAT
520884766,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev12,35033,control.side-effects,571081,complete,521.991,522.771,307016.0,UNSAT
520884767,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev12,35033,control.side-effects,571081,complete,112.82,113.082,280296.0,SAT-INCORRECT
520884768,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev12,35033,control.side-effects,571081,complete,150.371,152.443,286444.0,SAT-INCORRECT
520884769,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev12,35033,control.side-effects,571081,complete,511.544,516.594,322176.0,SAT-INCORRECT
520884770,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev12,35033,control.side-effects,571081,complete,612.375,614.379,335836.0,UNSAT
520884771,cnf_proj/20-100-p100-55_sat.cnf.xz,13219493,igrev12,35033,control.side-effects,571081,complete,1878.66,1880.57,473324.0,SAT-INCORRECT
520884772,cnf_proj/20-100-p100-55_unsat.cnf.xz,13219622,igrev12,35033,control.side-effects,571081,complete,3062.32,3063.74,479760.0,UNSAT
520884773,cnf_proj/2bitcomp_5.hg_20.cnf.xz,13219526,igrev12,35033,control.side-effects,571081,timeout (wallclock),4996.48,5000.06,1777180.0,UNKNOWN
520884774,cnf_proj/51.smt2.cnf.xz,13219613,igrev12,35033,control.side-effects,571081,complete,1254.95,1256.75,390460.0,UNSAT
520884775,cnf_proj/73.smt2.cnf.xz,13219593,igrev12,35033,control.side-effects,571081,complete,948.914,950.088,381192.0,UNSAT
520884776,cnf_proj/79.smt2.cnf.xz,13219786,igrev12,35033,control.side-effects,571081,timeout (wallclock),4996.37,5000.01,510100.0,UNKNOWN
520884777,cnf_proj/9dlx_vliw_at_b_iq5.cnf.xz,13219739,igrev12,35033,control.side-effects,571081,complete,579.286,579.907,669104.0,UNSAT
520884778,cnf_proj/9dlx_vliw_at_b_iq8.cnf.xz,13219748,igrev12,35033,control.side-effects,571081,complete,2464.31,2470.55,1445080.0,UNSAT
520884779,cnf_proj/ACG-15-10p1.cnf.xz,13219820,igrev12,35033,control.side-effects,571081,complete,342.031,342.123,447928.0,SAT-INCORRECT
520884780,cnf_proj/ak016modbtsimpbisc.cnf.xz,13219753,igrev12,35033,control.side-effects,571081,complete,2310.0,2312.69,354348.0,UNSAT
520884781,cnf_proj/ak032modbtmodbtisc.cnf.xz,13219597,igrev12,35033,control.side-effects,571081,timeout (wallclock),4977.6,5000.03,435508.0,UNKNOWN
520884782,cnf_proj/ak128paralparalisc.cnf.xz,13219842,igrev12,35033,control.side-effects,571081,timeout (wallclock),4983.53,5000.02,1001704.0,UNKNOWN
520884783,cnf_proj/assoc_mult_err_3.c.cnf.xz,13219612,igrev12,35033,control.side-effects,571081,complete,51.816,51.9284,250904.0,UNSAT
520884784,cnf_proj/at-least-two-aaai10-planning-ipc5-pathways-17-step20.cnf.xz,13219758,igrev12,35033,control.side-effects,571081,complete,585.908,586.539,429444.0,UNSAT
520884785,cnf_proj/at-least-two-aaai10-planning-ipc5-pipesworld-12-step15.cnf.xz,13219628,igrev12,35033,control.side-effects,571081,complete,326.585,328.311,650284.0,UNSAT
520884786,cnf_proj/at-least-two-hwmcc10-timeframe-expansion-k50-pdtviseisenberg2-tseitin.cnf.xz,13219752,igrev12,35033,control.side-effects,571081,complete,232.58,232.857,534024.0,UNSAT
520884787,cnf_proj/at-least-two-ibm-2004-23-k100.cnf.xz,13219667,igrev12,35033,control.side-effects,571081,complete,645.665,648.178,840776.0,SAT-INCORRECT
520884788,cnf_proj/at-least-two-maris-s03-gripper11.cnf.xz,13219486,igrev12,35033,control.side-effects,571081,complete,38.5655,38.7056,276916.0,SAT-INCORRECT
520884789,cnf_proj/at-least-two-smtlib-qfbv-aigs-ext_con_032_008_0256-tseitin.cnf.xz,13219850,igrev12,35033,control.side-effects,571081,complete,1229.76,1237.66,344128.0,UNSAT
520884790,cnf_proj/at-least-two-sokoban-sequential-p145-microban-sequential.030-NOTKNOWN.cnf.xz,13219638,igrev12,35033,control.side-effects,571081,complete,333.982,338.521,517880.0,UNSAT
520884791,cnf_proj/at-least-two-traffic_b_unsat.cnf.xz,13219668,igrev12,35033,control.side-effects,571081,complete,421.889,423.389,572156.0,UNSAT
520884792,cnf_proj/at-least-two-traffic_f_unknown.cnf.xz,13219496,igrev12,35033,control.side-effects,571081,complete,414.591,416.544,584400.0,UNSAT
520884793,cnf_proj/at-least-two-traffic_kkb_unknown.cnf.xz,13219647,igrev12,35033,control.side-effects,571081,complete,400.969,401.618,560912.0,UNSAT
