pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result
519955358,cnf_proj/10pipe_k.cnf.xz,13219654,ig_elimaux,34917,kissat.sh,568234,timeout (wallclock),4996.68,5000.02,785124.0,UNKNOWN
519955359,cnf_proj/13pipe_k.cnf.xz,13219688,ig_elimaux,34917,kissat.sh,568234,timeout (cpu),5000.08,4993.81,2233552.0,UNKNOWN
519955360,cnf_proj/143.smt2.cnf.xz,13219805,ig_elimaux,34917,kissat.sh,568234,timeout (wallclock),4984.89,5000.07,620564.0,UNKNOWN
519955361,cnf_proj/14pipe_q0_k.cnf.xz,13219627,ig_elimaux,34917,kissat.sh,568234,timeout (wallclock),4990.05,5000.02,1447728.0,UNKNOWN
519955362,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,ig_elimaux,34917,kissat.sh,568234,complete,1921.02,1921.33,781808.0,SAT-INCORRECT
519955363,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,ig_elimaux,34917,kissat.sh,568234,complete,643.586,643.222,385508.0,SAT-INCORRECT
519955364,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,ig_elimaux,34917,kissat.sh,568234,timeout (wallclock),4997.67,5000.11,2185376.0,SAT-INCORRECT
519955365,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,ig_elimaux,34917,kissat.sh,568234,complete,898.775,898.119,412056.0,SAT-INCORRECT
519955366,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,ig_elimaux,34917,kissat.sh,568234,complete,220.661,220.5,237240.0,SAT-INCORRECT
519955367,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,ig_elimaux,34917,kissat.sh,568234,complete,387.813,387.945,305980.0,UNSAT
519955368,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,ig_elimaux,34917,kissat.sh,568234,complete,1582.97,1583.77,557592.0,UNSAT
519955369,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,ig_elimaux,34917,kissat.sh,568234,complete,256.167,255.985,260988.0,SAT-INCORRECT
