pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,NUM_EQV,NUM_DEF,NUM_ITE,NUM_AND,NUM_XOR,NUM_FUL,NUM_OR,NUM_TRI,NUM_GEN,NUM_AUX,num_decisions,decisions_per_sec,num_conflicts,conflicts_per_sec,num_restarts,num_reduced,percent_reduced_per_conflict,num_propagations,propagations_per_sec,unzip_cpu_time,aux_cpu_time,total_num_clauses,total_num_variables,percent_variables_auxiliary,num_eliminated,num_subsumed,percent_eliminated,percent_subsumed
521073803,cnf_proj/10pipe_k.cnf.xz,13219654,igrev13_lastuip,35042,control.lastuip,571823,timeout (wallclock),4984.86,5000.06,839468.0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.69,0.0,3601247,67300,0.0,0,0,0.0,0.0
521073804,cnf_proj/13pipe_k.cnf.xz,13219688,igrev13_lastuip,35042,control.lastuip,571823,timeout (wallclock),4995.14,5000.07,2253992.0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,2.12,0.0,12295313,147626,0.0,0,0,0.0,0.0
521073805,cnf_proj/143.smt2.cnf.xz,13219805,igrev13_lastuip,35042,control.lastuip,571823,timeout (wallclock),4976.39,5000.11,840144.0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,1172734,370946,0.0,0,0,0.0,0.0
521073806,cnf_proj/14pipe_q0_k.cnf.xz,13219627,igrev13_lastuip,35042,control.lastuip,571823,timeout (wallclock),4977.94,5000.04,1576292.0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,1.57,0.0,7702617,222845,0.0,0,0,0.0,0.0
521073807,cnf_proj/20-100-frag12-0_sat.cnf.xz,13219641,igrev13_lastuip,35042,control.lastuip,571823,complete,1346.85,1354.89,219.06,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,23380457,17363.43,7719146,5732.6,389057,6061468,78.53,2381326135,1.77,0.0,0.0,470093,36616,0.0,18810,743743,51.37,4.43
521073808,cnf_proj/20-100-frag12-14_sat.cnf.xz,13219623,igrev13_lastuip,35042,control.lastuip,571823,complete,262.02,262.45,120.64,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,5933258,22670.92,2157873,8245.21,119467,1553450,71.99,622515735,2.38,0.0,0.0,448652,35508,0.0,18108,263345,51.0,4.85
521073809,cnf_proj/20-100-frag12-32_sat.cnf.xz,13219699,igrev13_lastuip,35042,control.lastuip,571823,timeout (wallclock),4992.32,5000.07,602852.0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,576564,40956,0.0,0,0,0.0,0.0
521073810,cnf_proj/20-100-frag12-53_sat.cnf.xz,13219465,igrev13_lastuip,35042,control.lastuip,571823,complete,442.65,442.97,163.73,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,9193856,20785.68,4010065,9066.05,113787,3196594,79.71,1059440801,2.4,0.0,0.0,500246,38465,0.0,19760,436554,51.37,4.73
521073811,cnf_proj/20-100-lambda100-14_sat.cnf.xz,13219734,igrev13_lastuip,35042,control.lastuip,571823,complete,159.06,159.23,48.04,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,2733424,17197.98,1469360,9244.82,60359,980167,66.71,391970969,2.47,0.0,0.0,185059,20696,0.0,14160,371208,68.42,10.9
521073812,cnf_proj/20-100-lambda100-14_unsat.cnf.xz,13219543,igrev13_lastuip,35042,control.lastuip,571823,complete,133.65,134.21,51.25,UNSAT,0,0,0,0,0,0,0,0,0,0,2169114,16243.44,1224225,9167.63,41502,775950,63.38,323928395,2.43,0.09,0.0,184862,20597,0.0,13792,339150,66.96,11.62
521073813,cnf_proj/20-100-lambda100-47_unsat.cnf.xz,13219541,igrev13_lastuip,35042,control.lastuip,571823,complete,662.45,663.36,82.68,UNSAT,0,0,0,0,0,0,0,0,0,0,6383998,9638.62,4149389,6264.79,105554,2860892,68.95,1287954156,1.94,0.0,0.0,192500,20199,0.0,13991,937861,69.27,10.68
521073814,cnf_proj/20-100-lambda100-49_sat.cnf.xz,13219852,igrev13_lastuip,35042,control.lastuip,571823,complete,293.65,294.22,72.57,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,4733862,16127.8,2096353,7142.07,109047,1521580,72.58,629635209,2.15,0.0,0.0,197705,20396,0.0,13406,391496,65.73,8.36
521073815,cnf_proj/20-100-lambda100-65_sat.cnf.xz,13219843,igrev13_lastuip,35042,control.lastuip,571823,complete,70.93,71.12,49.66,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,1654622,23372.17,553319,7815.84,37897,392524,70.94,203020646,2.87,0.0,0.0,219952,21873,0.0,14449,139055,66.06,8.46
521073816,cnf_proj/20-100-lambda100-89_sat.cnf.xz,13219463,igrev13_lastuip,35042,control.lastuip,571823,complete,72.19,72.4,50.31,SAT-INCORRECT,0,0,0,0,0,0,0,0,0,0,1456254,20209.21,600041,8327.09,31968,423600,70.6,202116160,2.8,0.0,0.0,207016,20898,0.0,13645,151648,65.29,8.84
521073817,cnf_proj/20-100-lambda100-89_unsat.cnf.xz,13219764,igrev13_lastuip,35042,control.lastuip,571823,complete,559.8,560.9,78.68,UNSAT,0,0,0,0,0,0,0,0,0,0,6503870,11620.71,3994995,7138.01,109625,2942363,73.65,1205124645,2.15,0.0,0.0,206819,20799,0.0,13741,803782,66.07,9.48
