"","time","cnftools.br","cnftools.br.elim","cnftools.br.elim.uip","cnftools.br.uip","cnftools.elim","control","control.lastuip","control.noelim","control.sideeffects","kissat.br","kissat.br.elim","kissat.br.uip","kissat.elim"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,1,4,4,4,3,0,0,0,1
"3",2,0,0,0,0,1,4,4,4,4,0,0,0,1
"4",3,0,0,0,0,1,4,4,4,4,0,0,0,1
"5",4,0,0,0,0,1,5,5,4,6,0,0,0,1
"6",5,1,2,0,0,1,5,5,4,9,1,1,0,1
"7",6,1,2,0,0,1,5,5,4,9,1,1,0,1
"8",7,1,2,0,0,1,5,5,4,10,1,1,0,2
"9",8,1,2,0,0,1,5,5,4,10,1,1,0,2
"10",9,1,2,0,0,2,5,5,5,10,1,1,0,2
"11",10,1,3,0,0,2,5,6,5,10,1,1,0,2
"12",11,1,3,0,0,2,5,6,6,10,1,1,0,2
"13",12,1,3,0,0,2,5,6,6,10,1,1,0,2
"14",13,1,3,0,0,2,5,6,6,10,1,1,1,3
"15",14,1,3,0,0,2,5,6,6,11,1,1,1,4
"16",15,1,3,0,0,2,6,6,6,11,1,1,1,4
"17",16,1,3,0,0,2,6,6,6,11,1,1,1,4
"18",17,1,3,0,0,2,6,7,6,11,1,1,2,4
"19",18,1,3,0,0,2,7,7,6,11,1,1,2,5
"20",19,1,3,0,0,2,7,7,6,11,1,1,2,5
"21",20,1,3,0,0,2,7,7,8,11,1,1,2,5
"22",21,1,3,0,0,2,8,7,8,11,1,1,2,5
"23",22,1,3,0,0,2,8,7,8,11,1,1,2,5
"24",23,1,3,0,0,2,8,7,8,12,1,1,2,5
"25",24,1,3,0,0,2,8,7,8,12,1,2,2,5
"26",25,1,3,0,0,2,8,7,9,12,1,2,2,5
"27",26,1,3,0,0,2,8,7,9,12,1,2,2,5
"28",27,1,3,0,0,2,8,7,9,13,1,2,2,5
"29",28,1,3,0,0,2,8,7,9,13,1,2,2,5
"30",29,1,3,0,0,2,8,7,9,13,1,2,2,5
"31",30,1,3,0,0,2,8,7,10,14,1,2,2,5
"32",31,1,3,0,0,2,9,8,10,14,1,2,2,6
"33",32,1,3,0,0,2,9,8,10,14,1,2,2,6
"34",33,1,3,0,0,2,10,8,10,14,1,2,2,6
"35",34,1,3,0,0,3,10,9,10,14,1,2,2,7
"36",35,1,3,0,0,3,12,9,10,14,1,2,2,7
"37",36,1,3,0,0,6,12,9,10,14,1,2,2,8
"38",37,1,3,0,0,6,12,9,11,15,2,2,2,8
"39",38,1,3,0,0,6,12,9,11,15,2,2,2,8
"40",39,1,3,0,0,8,12,9,11,16,2,2,2,8
"41",40,1,3,0,0,9,12,9,11,16,2,2,2,8
"42",41,1,4,0,0,9,12,9,12,16,2,2,2,8
"43",42,2,4,0,0,9,12,9,12,16,2,3,2,8
"44",43,2,4,0,1,9,12,9,13,17,3,3,2,8
"45",44,2,4,0,1,9,12,9,13,17,3,3,2,9
"46",45,2,4,0,1,9,12,10,13,17,3,3,2,9
"47",46,2,4,1,1,9,12,10,13,18,3,3,2,10
"48",47,2,4,1,1,9,13,10,13,18,3,3,2,10
"49",48,2,4,2,1,9,13,10,14,18,3,3,2,10
"50",49,2,4,2,1,10,13,10,14,18,3,3,2,10
"51",50,2,4,2,1,10,13,10,14,18,3,3,2,10
"52",51,2,4,2,1,10,13,10,14,18,3,3,4,10
"53",52,2,4,2,1,10,13,10,14,18,3,3,4,10
"54",53,2,4,2,2,10,13,10,14,18,3,3,4,11
"55",54,2,4,2,2,10,13,10,14,18,3,3,4,11
"56",55,2,4,2,2,10,13,10,14,18,4,3,4,12
"57",56,2,4,2,2,10,13,10,15,20,4,3,4,12
"58",57,2,4,2,2,12,13,10,16,21,4,3,4,12
"59",58,2,4,2,2,12,13,10,16,22,4,3,4,12
"60",59,2,4,2,2,12,13,10,16,22,4,3,4,13
"61",60,2,4,2,2,12,13,11,16,22,4,3,5,13
"62",61,2,4,2,2,12,13,11,16,22,4,3,5,13
"63",62,2,4,2,2,12,13,11,16,23,4,3,5,13
"64",63,2,4,2,2,12,13,11,17,24,4,3,5,13
"65",64,2,4,2,2,12,13,12,17,24,4,3,5,13
"66",65,2,4,2,2,12,14,13,17,24,4,3,5,13
"67",66,2,4,2,2,12,14,13,17,24,4,3,5,13
"68",67,2,4,2,2,12,15,13,17,24,4,3,5,13
"69",68,2,4,2,2,12,15,13,17,24,4,3,5,13
"70",69,2,4,2,2,12,15,13,17,24,4,3,5,13
"71",70,2,4,2,2,12,16,13,18,24,4,3,5,13
"72",71,2,4,2,2,12,16,15,19,24,4,3,5,13
"73",72,2,4,2,2,12,16,15,19,25,4,3,5,13
"74",73,2,4,2,2,13,16,16,20,25,4,3,5,13
"75",74,2,4,2,2,13,17,16,20,26,4,3,5,13
"76",75,2,4,2,3,14,17,16,20,26,4,3,5,13
"77",76,2,4,2,3,14,17,16,22,26,4,3,5,13
"78",77,2,4,2,3,14,18,16,22,26,4,3,5,13
"79",78,2,4,2,3,14,19,16,22,26,4,3,5,13
