"","time","cnftools.br","cnftools.br.elim","cnftools.br.elim.uip","cnftools.br.uip","cnftools.elim","control","control.lastuip","control.noelim","control.sideeffects","kissat.br","kissat.br.elim","kissat.br.uip","kissat.elim"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1,0,0,0,0,0,5,4,5,1,0,0,0,0
"3",2,0,0,0,0,0,10,8,10,8,0,0,0,0
"4",3,0,0,0,0,0,10,10,10,9,0,0,0,0
"5",4,0,0,0,0,0,10,10,11,11,0,0,0,0
"6",5,0,0,0,0,0,11,10,11,11,0,0,0,0
"7",6,0,0,0,0,0,11,10,11,11,0,0,0,0
"8",7,0,0,0,0,0,11,10,11,11,0,0,0,0
"9",8,0,0,0,0,0,11,10,11,11,0,0,0,0
"10",9,0,0,0,0,0,11,10,11,11,0,0,0,0
"11",10,0,0,0,0,0,11,10,11,11,0,0,0,0
"12",11,0,0,0,0,0,11,10,11,11,0,0,0,0
"13",12,0,0,0,0,0,11,10,11,11,0,1,0,0
"14",13,0,1,0,0,1,11,10,11,11,0,1,0,1
"15",14,0,1,0,0,1,11,10,11,11,0,1,0,1
"16",15,0,2,1,0,1,11,10,12,11,0,1,0,1
"17",16,1,2,1,1,2,11,10,12,11,0,1,1,2
"18",17,1,2,1,1,2,11,10,12,12,0,1,1,2
"19",18,1,2,1,1,2,11,10,12,12,0,1,1,2
"20",19,1,2,2,2,2,11,10,12,13,1,2,1,2
"21",20,1,2,2,2,2,11,10,13,13,1,2,1,2
"22",21,1,2,2,2,2,11,10,13,13,1,2,1,2
"23",22,1,2,2,2,2,11,10,13,13,1,2,1,2
"24",23,1,2,2,2,2,12,10,13,14,1,2,1,2
"25",24,1,2,2,3,2,12,10,13,14,1,2,2,2
"26",25,1,2,2,3,3,13,10,13,14,1,2,2,3
"27",26,1,2,2,3,3,13,10,13,14,1,2,2,3
"28",27,1,2,2,3,3,13,10,13,14,1,2,2,3
"29",28,1,2,2,3,3,13,10,13,14,1,2,2,3
